TOTAL_STIMULUS_REC: 423
NLP_parse_percentage_in_AF: 3.78451e-08
Logged_at: 08:00:00:000
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
5563739511318612309, DeclarativeSpeechAct, 21:47:46:795, 21:47:48:376, 11.3729, 1.58093, 1,  - , 2.62555
5575695510160542587, $verb, 21:47:46:522, 21:47:50:938, 4.37431, 4.41591, 1,  - , 11.7169
5597051859494516428, .@4ea1fa1d-289d-4c74-94da-8b70f7787b66, 21:47:49:033, 21:48:01:067, 44.0559, 12.0342, 0,  - , 5
5606731596915298192, truthquery, 21:47:46:795, 21:48:01:067, 39.4104, 14.2728, 1,  - , 4.43833
5669582803249487936, group, 21:47:47:115, 21:47:48:930, 1.10833, 1.81445, 0, 2100, 3.66667
5866580619734324769, belonging, 21:47:47:115, 21:47:48:716, 0.408585, 1.60057, 0, 600, 0.666667
5904337947702731061, Wq, 21:47:46:362, 21:47:51:035, 12.2734, 4.67342, 1,  - , 6.03818
5905652102781375818, .@a612682a-ec43-4005-8153-033b0da29934, 21:47:46:055, 21:48:01:067, 522.598, 15.012, 0,  - , 18.3333
5932992085761877358, .@b2bca0ae-ae19-4dc0-ba3e-efd834e81e5c, 21:47:49:033, 21:48:01:067, 80.8929, 12.0342, 0,  - , 3.66667
5934740242943927088, TruthQuerySpeechAct, 21:47:46:795, 21:47:47:645, 10.0903, 0.850771, 1,  - , 2.62555
5986489378183424896, .@07ca741e-97c7-4968-8d3f-b5f36dc63462, 21:47:47:645, 21:48:01:067, 128.513, 13.422, 0,  - , 15.3549
6024812931550798131, _obj, 21:47:46:055, 21:48:01:067, 62.9, 15.012, 1,  - , 50.7701
6033337112446051076, sentence@9305f11c-aa57-484c-9003-0cae03dac3cd_parse_0, 21:47:54:252, 21:48:01:067, 353.423, 6.8157, 0,  - , 10.3333
6235516173602986386, $var1, 21:47:46:900, 21:47:47:006, 0.273736, 0.10597, 1,  - , 3.19579
6267467794569200960, InterrogativeSpeechAct, 21:47:46:795, 21:47:47:645, 10.3333, 0.850772, 1,  - , 2.95888
6360108663178500587, this, 21:47:46:730, 21:47:48:376, 7.5369, 1.64582, 1,  - , 2.55149
6361216970899252301, this, 21:47:46:055, 21:48:01:067, 310.13, 15.012, 0, 600, 7.53931
6363482441405313465, limbs@cafef31c-0c30-44be-baf5-4c9bd227a016, 21:47:55:819, 21:48:01:067, 63.5599, 5.24849, 0,  - , 63.8932
6376947083358314788, LOCAL_FAR_LINK_RATIO, 21:47:46:730, 21:48:01:067, 62.6681, 14.3377, 1,  - , 7.95426
6424941952728201186, 81.000000, 21:47:56:610, 21:47:58:438, 34.0903, 1.828, 0,  - , 37.2791
6441412461975532897, ,@aa2c0802-e30d-4a60-a197-753308e87527, 21:47:49:557, 21:48:01:067, 54.52, 11.5104, 0,  - , 22.6155
6503928024833716450, spiders, 21:47:46:362, 21:47:51:035, 17.1543, 4.67342, 1, 2100, 43
6507140506302824900, uncountable, 21:47:46:055, 21:48:01:067, 67.5754, 15.012, 0,  - , 64.2534
6635976878300848413, ###LEFT-WALL###, 21:47:46:055, 21:48:01:067, 198.012, 15.012, 1, 28800, 31.0778
